A;B;C;D;E;F;G
1543;23346;1436;377;3;1449.5;0
1544;29528;1076;357;5;4548.5;0
1545;29076;1356;448.5;1;1233;0
1546;17886;924;295.5;5;256;1
1547;11537;1106;;3;3154.5;1
1548;11645;1300;442;1;4807.5;0
1549;8738;1450;;1;4955.5;0
1550;2128;1196;417;5;4324.5;1
1551;29659;1106;;1;4377.5;0
1552;24591;1194;;1;1205;0
1553;9595;1106;;1;1746;1
1554;3171;1380;352.5;5;2000;1
1555;28089;1106;;1;4568;0
1556;29656;1240;372.5;1;2409;0
1557;22687;1142;431;1;697;0
1558;10422;980;406;17;3121;1
1559;8802;1050;380.5;11;375.5;0
1560;16650;1194;418;3;4420.5;0
1561;24436;1106;;3;3115.5;1
1562;21046;1160;328;7;2839;0
1563;28056;1062;458.5;1;4239;0
1564;27758;1262;385.5;1;1854.5;0
1565;5120;940;368.5;13;1541;1
1566;6606;1360;499.5;3;867;0
1567;28818;1106;;7;1502;0
1568;9895;1092;461.5;1;2237.5;0
1569;23973;1070;340;1;2152.5;0
1570;29503;948;362.5;3;2707.5;1
1571;19376;1148;377;5;704.5;0
1572;16830;878;353;5;3575;0
1573;17181;1070;307;11;2636;0
1574;22224;1240;370.5;1;2799.5;0
1575;25192;1106;436;1;2950.5;0
1576;14085;1222;250.5;1;1258;0
1577;21318;1106;330.5;1;3445.5;0
1578;27240;1162;338.5;3;4199;0
1579;19244;1100;286;1;2988;0
1580;29007;952;280;1;2745;0
1581;26637;1012;294.5;11;584;0
1582;20122;1090;236.5;1;2149.5;1
1583;6515;1082;328;5;4382.5;0
1584;17904;1126;417;1;1193;0
1585;6254;796;;1;2336.5;0
1586;5703;1046;419;1;4526.5;0
1587;28886;1106;;1;3773.5;0
1588;9601;1114;368.5;11;1407.5;0
1589;26266;1124;351;1;3450;0
1590;27083;1102;383;7;864.5;0
1591;23669;1396;333.5;7;3322.5;0
1592;3432;1414;403.5;3;2009.5;0
1593;2348;842;160.5;5;4469;1
1594;9246;1034;;1;4427;0
1595;5248;1248;449.5;3;4568;0
1596;22335;1316;336;7;4321.5;0
1597;27126;972;;1;3024.5;1
1598;13864;1106;461.5;1;43;1
1599;19709;1102;227.5;5;570;0
1600;16700;1188;284;1;3258;0
1601;26059;1106;;1;3184;1
1602;5860;1008;421;5;4328.5;0
1603;17048;892;330.5;9;4555;0
1604;15765;1106;;1;3780.5;0
1605;5934;1106;274.5;7;921;1
1606;6739;952;398.5;1;143;0
1607;11720;1106;394.5;1;3044.5;0
1608;23932;1190;323.5;1;215.5;0
1609;27833;1116;406;3;2694.5;0
1610;10626;1070;283.5;7;4156;0
1611;1807;1236;259.5;1;4899;1
1612;29748;1210;412.5;1;3156;0
1613;18946;940;423.5;5;3129;0
1614;18653;1060;364;3;894.5;0
1615;26746;962;;11;2595;0
1616;11449;1450;456.5;1;1769.5;0
1617;12230;1106;;1;4234;1
1618;25987;1136;383.5;5;4738;0
1619;18256;986;402;1;2440.5;0
1620;1582;1106;;1;2518;0
1621;23882;1194;473;5;3409;0
1622;10310;1066;340;1;275.5;0
1623;29302;1028;403;5;4651;1
1624;26057;1058;316.5;1;4928;0
1625;26891;1106;;1;4752;0
1626;18980;1218;248.5;5;2876;0
1627;9119;1210;377.5;5;4250.5;1
1628;29529;1180;462;9;488.5;0
1629;24998;1092;359.5;3;49;0
1630;21914;1138;295.5;3;577.5;0
1631;9789;1116;;1;1737.5;0
1632;29527;1128;479;5;444;0
1633;1239;1106;;1;1046;0
1634;1340;1242;379.5;5;683.5;0
1635;2703;1070;212.5;7;4506;0
1636;16111;1106;;1;4291.5;1
1637;24067;1386;;5;3936;0
1638;29475;1106;;1;4202.5;0
1639;18849;990;283;5;1385;1
1640;25455;1010;431;1;4621.5;0
1641;9985;870;304.5;5;1735.5;1
1642;3178;872;323.5;1;3962.5;1
1643;2632;1194;400.5;3;3382;0
1644;27428;1220;268.5;5;1234.5;0
1645;15441;1314;386.5;1;3649;0
1646;28355;1012;289;3;2320;0
1647;18298;1106;;1;3313.5;0
1648;19523;894;;13;4743.5;0
1649;15182;872;324.5;5;2082.5;1
1650;25524;1108;383;3;3805;0
1651;3337;1148;450;1;4943;0
1652;2589;1062;358.5;3;4463.5;1
1653;11115;856;317.5;11;1240.5;1
1654;27891;1176;389.5;1;3725.5;0
1655;12235;994;360;1;3319.5;0
1656;24532;1162;482.5;9;2177.5;0
1657;19788;1060;238.5;11;2560;1
1658;2657;1106;;1;4083;0
1659;16871;904;397.5;7;2479;0
1660;19025;1100;;1;3839;0
1661;11825;906;423;1;1066.5;1
1662;26330;978;334.5;1;4392.5;0
1663;20511;1106;445.5;1;1712;0
1664;15188;998;295;3;4784;0
1665;16027;1042;;3;4189.5;0
1666;25388;1106;;3;2750;0
1667;13357;902;338.5;1;2740;0
1668;13951;1106;451;1;1830.5;0
1669;14241;1106;;1;2850;0
1670;27692;1292;380.5;1;4245.5;0
1671;2467;1308;452;5;2131.5;0
1672;15959;1106;332.5;3;4875.5;0
1673;11528;1106;;3;470;0
1674;12438;1106;;3;1708.5;0
1675;13682;838;361.5;11;943.5;0
1676;27586;856;412;7;4349.5;0
1677;17294;1228;404;3;1876.5;0
1678;1945;1042;322.5;1;916;1
1679;20688;1296;458.5;1;3959.5;0
1680;11829;1370;328;11;1466;0
1681;23051;1280;438.5;3;1345;0
1682;29916;1106;459.5;1;1397.5;0
1683;1304;1018;273.5;1;395;1
1684;5158;1446;467.5;3;2181;0
1685;28200;1106;343.5;1;4630;0
1686;23174;1124;361;3;423;0
1687;12510;1050;316;11;77;0
1688;8455;1070;431.5;5;2447;0
1689;24375;1106;377.5;1;4432;0
1690;2032;1106;277.5;1;1293.5;0
1691;2478;868;265.5;1;1238.5;0
1692;28334;1106;470.5;1;879.5;0
1693;25512;1258;347.5;7;4038;1
1694;3783;1282;452.5;1;1056;0
1695;16743;1348;415.5;3;2029.5;0
1696;22366;1202;424.5;9;1379.5;0
1697;2810;1170;427;1;3097;0
1698;28383;1450;424.5;1;2277;0
1699;24884;1208;;1;3604;0
1700;19191;1250;345.5;1;4427.5;0
1701;12369;962;196;3;2114.5;0
1702;7161;1216;;9;2288;0
1703;1276;1106;;1;297.5;0
1704;4252;1000;306.5;3;2240.5;0
1705;21873;1106;417;3;3231.5;0
1706;20435;1216;404;1;1926;0
1707;25075;1150;330.5;3;4500;0
1708;20989;1312;475.5;1;4747;0
1709;1270;1068;449;1;4011;0
1710;20697;1080;377.5;1;2488;0
1711;24590;1142;;1;4189;0
1712;4648;1198;434.5;1;2433;0
1713;6494;754;185;1;4540;1
1714;5339;1126;430;5;2631;0
1715;24354;912;422;7;3524;0
1716;13227;976;360;3;914;0
1717;13401;1216;;1;3874.5;0
1718;11022;1342;360;9;4018.5;0
1719;8954;1158;230.5;5;2987.5;0
1720;17877;1124;380.5;3;4204.5;0
1721;7339;1236;362.5;3;1069.5;1
1722;18265;1218;452.5;3;1419;0
1723;18871;846;256;5;2259.5;0
1724;1216;1160;294.5;3;1112;0
1725;16608;1314;;1;1303.5;0
1726;19038;1106;;1;3004;1
1727;12745;1422;432;5;4956;0
1728;3504;1064;357;3;2555;0
1729;19434;1106;;1;2962.5;0
1730;15629;922;;1;714.5;1
1731;26107;1106;379;1;2175;0
1732;26823;946;385;1;848;1
1733;1242;1098;290.5;1;2259.5;1
1734;5931;1272;347.5;1;753;1
1735;10635;1210;376;19;1359.5;0
1736;6833;1030;402.5;1;1825.5;0
1737;21417;1106;;3;2389.5;0
1738;16564;1372;503;1;1120;0
1739;26862;1106;397;1;4066.5;0
1740;18066;944;314;9;4841;1
1741;10115;854;441;5;616.5;1
1742;6837;1094;;5;535;0
1743;17769;1178;358;9;4994.5;1
1744;25626;780;268.5;7;631;0
1745;12058;1106;452.5;1;299;0
1746;27492;1106;;1;4275.5;0
1747;4319;1206;473.5;1;4098;0
1748;25427;1358;452.5;1;2345.5;0
1749;14408;1450;435;3;3582.5;0
1750;6272;1166;291.5;3;4800;0
1751;21343;942;;1;4776.5;0
1752;21769;1070;445.5;5;3170.5;0
1753;27581;1320;465;3;1238.5;0
1754;5180;1106;356;1;2820.5;0
1755;15056;1158;;9;2403;0
1756;5403;1106;;1;3079.5;1
1757;22897;1106;409;1;4053.5;0
1758;28951;836;303;1;1289;0
1759;3190;1330;432;3;2603;0
1760;10334;1192;295.5;9;930;1
1761;11931;1106;;1;4757.5;0
1762;22227;1312;301.5;3;1472;0
1763;15948;1106;436;1;3024;0
1764;10112;1054;292;25;1655;0
1765;26255;1106;434.5;1;263.5;0
1766;9520;964;421.5;3;3660.5;0
1767;7982;1220;;1;3154.5;0
1768;8639;1106;;3;2057;0
1769;10591;1106;;3;4768.5;0
1770;9919;1148;341.5;5;4803.5;0
1771;25857;1106;;1;4682;0
1772;24387;904;403.5;1;2047;0
1773;6815;1106;;1;1900;0
1774;19248;1362;406;3;2084;0
1775;8520;1256;445.5;1;2773.5;0
1776;6970;736;254.5;3;4767.5;1
1777;18444;1300;437.5;1;4026.5;0
1778;29360;788;310;3;4951;0
1779;23524;988;226.5;5;1227.5;1
1780;24996;928;364.5;1;2766.5;0
1781;11065;1316;430.5;1;4730.5;0
1782;1880;1066;;1;110.5;0
1783;15159;1076;212.5;1;1252.5;1
1784;25348;1098;464;7;4181.5;0
1785;15985;1192;473;1;1918;1
1786;19459;1106;244;3;961.5;0
1787;21123;958;318;9;1727.5;0
1788;26381;1334;307.5;1;617;0
1789;19815;1110;390.5;1;3556.5;0
1790;17737;1106;;1;4162.5;0
1791;5970;1232;420;1;4645.5;0
1792;24837;1288;411;1;811;0
1793;4772;1136;247.5;1;2500.5;0
1794;7459;1222;437.5;1;2231;0
1795;27377;1022;383;1;3291;0
1796;22630;858;273;3;4719;1
1797;12808;1260;402.5;3;3356;0
1798;29322;1196;347.5;3;1041.5;0
1799;16398;1350;355;1;1194.5;0
1800;14501;878;404;13;363.5;0
1801;27228;866;212.5;11;2616;1
1802;15131;1154;475.5;7;4902;0
1803;7958;844;268.5;7;4052.5;0
1804;4240;1106;451;1;2894;0
1805;1325;1106;;1;3232;0
1806;22756;1234;362;3;1008;1
1807;8237;1316;286.5;3;3553.5;0
1808;18688;990;384;3;3335;0
1809;1576;760;304.5;17;750;0
1810;21834;874;334;3;4182;0
1811;5507;1154;272;1;3957;0
1812;24479;1068;330.5;1;4631;1
1813;16191;1164;449.5;3;4873.5;1
1814;28757;1080;276.5;1;1323;0
1815;19226;818;357;3;1078;0
1816;25188;1238;451;1;4050.5;0
1817;25379;1212;447;1;2367.5;0
1818;13314;1030;341;5;4346;0
1819;14120;1370;473;1;2919.5;0
1820;12710;1002;302.5;5;3312.5;0
1821;28997;704;360;5;4926.5;0
1822;27793;1028;;1;1129;0
1823;24387;1166;396;1;4792.5;0
1824;25006;920;258;7;4273.5;0
1825;2471;1194;328;3;177.5;0
1826;21938;1136;252;1;3778.5;0
1827;2251;828;269;1;2085;0
1828;9378;1106;;5;2241.5;0
1829;20555;1048;;11;872;0
1830;12755;1092;286.5;17;3275.5;0
1831;27681;1106;389.5;1;3913;1
1832;10226;1106;;1;1325.5;0
1833;7098;782;392.5;1;1540;0
1834;12169;1002;317;5;320.5;0
1835;11733;1090;378.5;3;2977;0
1836;16054;1440;334.5;3;3733;0
1837;28400;1106;451;1;34.5;0
1838;6497;796;;1;1270;0
1839;3073;1106;;1;2320;0
1840;12103;1106;452.5;1;1647.5;1
1841;1331;1070;299;1;3992;0
1842;1948;1030;380;1;3640;0
1843;4130;1364;;1;1020;0
1844;5990;1106;423.5;5;3868;0
1845;29322;1194;400.5;3;2996.5;0
1846;26527;1006;;1;4061;0
1847;7881;1190;294.5;7;3309.5;0
1848;6268;1200;362.5;15;4581;0
1849;23322;830;376.5;13;3272.5;0
1850;28110;1034;388.5;5;1827;0
1851;27562;1164;428.5;1;2615;0
1852;12176;1240;473;1;2964.5;0
1853;9578;1176;294;1;998;0
1854;9313;1212;295.5;5;2727;1
1855;5947;918;307.5;1;1942.5;0
1856;18423;1164;382;1;1587;1
1857;5974;910;404;5;2950;0
1858;16001;1106;;1;2629;0
1859;20214;954;330;11;4950;1
1860;9375;1310;505.5;1;3432;0
1861;22498;1432;424.5;3;4692.5;0
1862;14777;1106;383;3;1067.5;0
1863;3307;864;406;1;1495.5;1
1864;2926;1066;425;1;4777;0
1865;3910;1106;462;3;3474;1
1866;27380;1110;347;1;1349.5;0
1867;29638;1106;362.5;3;710;0
1868;23028;960;398;7;2985;0
1869;3186;936;335.5;1;1563;1
1870;26978;1406;473;1;1390.5;0
1871;3857;1176;357;1;784;0
1872;4268;1072;341.5;1;1775;0
1873;13860;1154;309;11;3023.5;0
1874;10006;1182;268.5;1;4777;0
1875;22149;1208;417;1;41;0
1876;5497;1106;401;1;1369.5;0
1877;21499;1106;432.5;3;4942.5;0
1878;1501;1368;399;1;4610;1
1879;20882;704;204.5;1;4572;1
1880;14123;900;;1;634;0
1881;16383;1122;365;1;275.5;0
1882;11306;1030;341;3;263;1
1883;16774;1022;;3;3364.5;1
1884;18761;1116;304.5;1;4316.5;0
1885;24343;948;254.5;9;2801;0
1886;26300;1446;;1;4869;0
1887;27381;1294;330.5;1;2882;0
1888;8663;958;258;1;1214.5;0
1889;11843;1418;473;1;1646;0
1890;14349;1106;;1;4888;0
1891;13062;1042;304;1;768;0
1892;24408;1106;;1;3609;0
1893;19203;1142;400;3;728;0
1894;7610;766;211.5;1;3807;0
1895;4113;1234;;1;4042;0
1896;23658;1362;448.5;1;4562;1
1897;17185;1086;315;5;979.5;1
1898;15974;990;281;1;560.5;0
1899;26442;1142;482.5;7;4566.5;0
1900;24098;1196;;1;2560.5;0
1901;27704;1386;441.5;1;1104.5;0
1902;3630;1062;451;1;2173.5;0
1903;17478;932;256;1;3324.5;1
1904;22265;1124;417;1;3063.5;0
1905;3847;1208;466;5;644.5;0
1906;29600;1106;383;1;4459;1
1907;19170;1158;;1;1936.5;0
1908;29264;1096;;1;3685.5;0
1909;6252;1106;310;1;3988;1
1910;15192;730;316;1;1285;1
1911;22724;1164;473;1;3338;0
1912;25792;1178;378.5;5;3024.5;0
1913;22692;1170;;1;1919;0
1914;4747;1106;;1;908;1
1915;18155;1140;409.5;1;1384;0
1916;27603;1028;306;3;315.5;0
1917;17251;1106;;1;1277.5;1
1918;7745;974;294.5;1;1450.5;1
1919;16510;1106;;1;3595;1
1920;20121;992;315;17;7;0
1921;26090;880;329.5;3;2603;1
1922;11966;1138;334.5;1;2262;0
1923;24223;942;194;1;2534.5;0
1924;27362;1102;;1;4514;0
1925;8975;1176;426;1;3801;0
1926;1970;1182;417.5;1;1092;0
1927;2013;1026;316;1;2064;0
1928;7736;1106;385.5;15;264;0
1929;23817;1064;390;3;4415.5;0
1930;16937;1048;380.5;7;984;1
1931;11243;1106;;3;1952;0
1932;11988;766;;3;948.5;1
1933;22614;1106;389.5;1;2324;0
1934;13169;1106;;1;91;0
1935;28924;1192;336.5;3;237;0
1936;1251;1106;;1;4887.5;0
1937;14708;1106;;3;3536;0
1938;10733;1354;372;1;2394;0
1939;14219;1106;;3;1437;0
1940;29035;1106;425;1;2314.5;0
1941;3757;1146;410;3;1654;0
1942;15078;1322;432.5;1;1526;0
1943;11852;1106;;1;261;0
1944;1386;1180;456.5;3;3883.5;1
1945;5754;1106;467.5;1;3155.5;0
1946;28203;1248;400.5;1;4655.5;0
1947;6307;1084;332.5;5;4760;0
1948;15200;1026;286;5;2281;0
1949;19133;1164;362.5;1;3455;0
1950;7267;1106;;3;440;1
1951;19120;1106;449;1;2005.5;0
1952;23386;1176;285.5;1;4252.5;0
1953;21600;1106;;7;2166.5;0
1954;1273;962;295.5;3;3382;1
1955;17740;1392;400.5;1;3948;0
1956;15571;1086;375;3;4895.5;0
1957;27448;1342;415.5;1;1647;0
1958;3327;1448;367.5;3;4785.5;0
1959;14167;1106;;3;75.5;0
1960;15213;1106;;1;305.5;0
1961;6411;1106;;11;4101.5;1
1962;7960;944;362.5;3;88.5;0
1963;27848;1106;;1;2762.5;1
1964;10884;1014;336;7;4331;0
1965;22293;1106;;1;3776.5;0
1966;27294;1266;232;3;2338;0
1967;2048;1238;423.5;9;937;0
1968;25338;1418;432;1;1099.5;0
1969;10323;914;311.5;1;1403;0
1970;5851;1104;318;11;59.5;0
1971;1582;1192;378;7;2524;1
1972;23666;1036;362.5;1;2196;0
1973;28285;1068;314.5;1;4316;0
1974;13236;1106;;1;3227;0
1975;27107;1120;328;5;1335;1
1976;10030;1306;422;5;3504.5;0
1977;15710;1138;;3;1111.5;0
1978;20451;1172;406;1;2338.5;0
1979;16870;1450;379;1;2024.5;0
1980;17128;1032;350.5;3;3390.5;0
1981;13930;1212;419;3;2346.5;0
1982;25974;1106;;5;139.5;0
1983;29163;746;;7;4663.5;0
1984;26498;862;328;5;1196.5;0
1985;4855;1286;419;1;330.5;0
1986;27286;1170;307;3;2595;0
1987;13181;820;380.5;7;3621;1
1988;8998;1042;;3;4013;0
1989;26479;1106;;3;1278;0
1990;23220;1106;;19;1287;0
1991;6428;1106;410;1;1808.5;0
1992;24540;1106;;1;1094;0
1993;22075;1106;;1;4145;0
1994;18850;1292;466;3;2570;0
1995;14892;730;293.5;3;2273.5;1
1996;21402;1358;387;1;2577.5;0
1997;16746;1106;;1;1671;0
1998;14306;1226;;1;4146.5;0
1999;23794;1106;387;1;3904;0
2000;2853;1106;;3;1143;0
2001;9063;1026;330.5;9;1275.5;0
2002;24763;1316;377.5;3;174;0
2003;28087;958;237;1;4869;1
2004;3271;1344;383;1;723.5;0
2005;22182;1106;;1;646;0
2006;12041;966;375.5;1;4394;1
2007;17689;1106;348;3;3369;0
2008;17428;936;212.5;5;4802.5;0
2009;29608;1198;430.5;1;2639;0
2010;14294;946;400.5;5;4029;0
2011;10119;1124;366;5;3867.5;0
2012;5192;1002;289;13;661;0
2013;12232;908;345.5;3;53;1
2014;22055;970;213;7;3674;0
2015;6969;1188;;3;2845;0
2016;4739;1256;277.5;3;3862.5;0
2017;5173;1106;;1;598;0
2018;4618;856;406;11;3120;1
2019;20362;1010;377.5;3;2961.5;0
2020;10760;872;355;1;3818;0
2021;5095;1172;360;1;144.5;0
2022;10298;1024;250.5;5;508;0
2023;24363;1152;391.5;3;2506;0
2024;21090;850;353;5;3859;1
2025;20479;1160;309;7;2429;0
2026;15539;1312;325;1;270;0
2027;28723;1022;366;1;2833.5;1
2028;24918;1182;279;3;2568.5;0
2029;25442;746;;1;4177.5;0
2030;2770;1106;251.5;1;3772;1
2031;20363;1106;465;1;894;0
2032;16538;950;345.5;7;2828;0
2033;12568;1270;374;1;1687.5;0
2034;10533;1110;328;13;807;1
2035;15137;952;325;1;4193;1
2036;12472;1364;388;3;3640.5;0
2037;7666;920;300.5;5;3736;1
2038;1406;1348;;1;2552;0
2039;1566;998;;3;448;1
2040;27111;1106;;1;1539.5;1
2041;9887;1176;372;1;3374;0
2042;18426;1274;357;5;799.5;0
2043;15602;1108;345.5;1;653.5;0
2044;20997;1390;435;3;426.5;0
2045;17378;926;279.5;1;1366.5;0
2046;6579;1148;435;3;4038.5;1
2047;15389;1136;365;7;192;0
2048;21643;1124;280.5;3;1192;0
2049;20419;818;260;11;3745.5;1
2050;25024;1198;397;3;2819;0
2051;18091;1106;368.5;1;3749;1
2052;1116;904;330.5;3;4174;1
2053;2373;1250;400.5;7;3989;1
2054;2545;1106;419;1;2668.5;0
2055;18617;1376;374;7;1907.5;0
2056;20528;1074;314;7;746.5;0
2057;22555;1106;;1;3698;0
2058;8138;1334;316.5;1;4241.5;0
2059;10541;974;326;7;1621.5;0
2060;12064;1176;436.5;3;4547;0
2061;29980;1092;326.5;3;4071.5;0
2062;9395;828;345.5;5;2191;0
2063;6249;1036;286;11;2435;1
2064;4591;1106;;1;4345;0
2065;17642;1140;360;3;4471.5;0
2066;24390;1106;;3;2990.5;0
2067;12889;1106;;1;3266.5;0
2068;25432;1106;373;1;538.5;0
2069;29086;1106;;1;3148;0
2070;26058;1106;;3;4339;0
2071;3154;1150;;3;2405.5;0
2072;28479;1206;473;5;132;0
2073;20173;1154;;1;3277.5;0
2074;20202;1308;503;1;1858;0
2075;4564;900;191;1;636.5;0
2076;5803;1314;325;7;3876;0
2077;28175;1214;415.5;3;834.5;0
2078;27381;738;286.5;1;1776;1
2079;4320;1166;386;5;2116.5;1
2080;9220;1106;;1;3774;0
2081;3027;1106;;1;1857.5;0
2082;6061;1106;449;1;2582;0
2083;3381;1106;;1;4037;0
2084;9424;860;289;9;3309;1
2085;27364;992;180.5;5;886;0
2086;23714;1118;322;1;4194;0
2087;2807;1068;325;7;3688;0
2088;12382;894;304;1;3089;0
2089;13164;752;301;5;3671.5;0
2090;18500;1046;374;7;4397;1
2091;6926;850;294.5;1;4368.5;1
2092;20370;1106;;1;3587.5;0
2093;17472;1386;348;1;255.5;0
2094;1369;1060;;1;3385.5;0
2095;21345;982;;1;1043;0
2096;15553;878;402.5;7;1671;1
2097;23354;964;324.5;3;2131.5;1
2098;22715;1106;310;1;3159.5;0
2099;8746;832;295.5;1;38;1
2100;8336;1334;337;3;3398;0
2101;7529;1028;;1;1239;0
2102;4783;880;237;1;1375;1
2103;21281;1042;255.5;5;4022;0
2104;13616;1134;;3;594;0
2105;20573;990;304.5;3;4038.5;0
2106;28254;1212;334;9;1826;0
2107;4062;1106;;1;1973.5;0
2108;5311;922;307;1;4650.5;1
2109;5524;1114;;3;4884.5;0
2110;21317;1106;;1;1373.5;1
2111;22538;1106;;1;1201;1
2112;6056;1024;383.5;9;3254;0
2113;10608;1106;362.5;1;3264;1
2114;22731;1106;430.5;5;2086;0
2115;17426;1106;416;1;679;0
2116;13903;1370;403;3;254;0
2117;18160;1242;407.5;1;1644.5;0
2118;25962;1106;447;1;1159;0
2119;21880;1148;441.5;3;811.5;0
2120;5245;1106;457;1;3368;0
2121;1447;1328;473;1;433;0
2122;18591;1374;;1;1941.5;0
2123;23229;1260;456.5;1;3192;1
2124;5764;1106;;1;157;1
2125;23072;1130;286.5;5;1880.5;1
2126;18111;1106;325;17;4357;1
2127;28226;1106;272;1;4902;1
2128;29115;912;445.5;7;1859;0
2129;14838;1106;;1;1823;0
2130;29676;1106;;1;4450;0
2131;7899;1106;380;1;841;1
2132;11646;984;325;11;382.5;1
2133;16463;924;224;1;277;1
2134;16321;1106;;1;4849;0
2135;24280;1346;411.5;1;331;0
2136;9120;1106;;1;3243.5;0
2137;18635;972;357;1;58.5;1
2138;15732;1402;357;7;4890.5;0
2139;27026;1082;256.5;1;1950;1
2140;6329;1170;385.5;3;2799.5;0
2141;7389;1076;389;1;3036.5;0
2142;18340;1048;379;1;2510;1
2143;28533;1196;328;5;1492.5;0
2144;9078;1276;382;1;558;0
2145;26932;1234;382;5;4747;0
2146;2941;1318;;1;252;0
2147;16301;784;328;13;1383.5;1
2148;12096;1232;475.5;1;225;0
2149;21151;1358;451;1;2228;0
2150;23000;1254;304;1;1579;0
2151;5476;1106;251.5;9;3565;0
2152;18570;1068;304;5;3853.5;0
2153;9364;990;419;3;4398.5;0
2154;19938;1068;276.5;3;2782.5;0
2155;16595;1060;376.5;7;4600;0
2156;16191;1004;363;3;3794.5;0
2157;22694;998;425;1;2764.5;0
2158;16323;1260;400.5;1;1312.5;0
2159;4188;1232;420;1;2975;0
2160;28964;908;229;1;4460;1
2161;6004;1006;274.5;1;269.5;1
2162;16749;1126;318;1;4835.5;0
2163;26894;1106;381.5;1;4038;0
2164;23598;1172;429.5;1;2817.5;0
2165;13762;1106;372;5;618.5;0
2166;23319;956;344.5;5;690;0
2167;8618;1096;301;7;1340;0
2168;7465;1128;;1;453;0
2169;17950;1364;397;3;3439;0
2170;25360;954;129.5;7;2967.5;1
2171;9903;870;330.5;47;950.5;1
2172;27042;884;220;1;4937.5;0
2173;14507;1140;417;1;4668;0
2174;9235;1250;444;3;3962;0
2175;22236;1106;451.5;1;4400;0
2176;18654;1256;451;1;3555;0
2177;11864;1106;458;3;2943.5;0
2178;5057;1248;464;1;4687;0
2179;2280;788;265.5;7;4264.5;0
2180;8550;1062;411.5;1;3447.5;0
2181;12652;790;364;7;793.5;1
2182;11170;1344;444;3;4837.5;0
2183;13295;1050;381;3;4486.5;1
2184;8038;998;351;3;4849;0
2185;29095;1254;441.5;5;2962.5;0
2186;18868;1370;452.5;1;3019;0
2187;28985;1172;403.5;3;3277;0
2188;16221;978;;1;3614;0
2189;3831;1050;385.5;3;2197.5;1
2190;5670;1106;;1;1442.5;0
2191;21050;1410;452;1;2192.5;0
2192;16457;914;330;1;3777;0
2193;20163;914;360;1;796;1
2194;23696;788;304;3;60;0
2195;15405;932;374;5;4697;0
2196;11393;1154;414;1;1308;0
2197;22729;824;250;9;2677.5;1
2198;11354;1450;324.5;1;3166.5;0
2199;15985;940;349.5;1;4577;0
2200;19418;1106;485.5;1;2775.5;0
2201;27244;1326;374;3;4836;0
2202;17329;934;328.5;3;3807.5;0
2203;6211;1386;458;1;2545;0
2204;28449;996;378;5;707.5;0
2205;12833;1202;456;1;180;0
2206;1594;1104;356.5;1;3087;1
2207;28749;1106;;1;37.5;1
2208;27233;1108;377.5;1;3050.5;0
2209;18053;896;263;1;2710.5;1
2210;5713;1106;452.5;3;4531.5;0
2211;9337;1118;304;1;1931;0
2212;20485;848;446.5;5;575.5;0
2213;27506;1106;;1;2823.5;0
2214;20858;1106;;1;3305.5;1
2215;17614;1042;241.5;1;3577.5;1
2216;16682;1106;475.5;1;3930;0
2217;14495;1128;403.5;3;1938;0
2218;8478;1104;404;1;3583.5;0
2219;7545;1106;;1;3345.5;0
2220;8149;1156;335.5;3;808.5;0
2221;6134;900;479;3;2663;0
2222;2647;892;404;9;628;1
2223;16069;1244;262;3;3617.5;0
2224;24695;1104;309;17;3590;1
2225;9072;1268;;3;637;0
2226;29149;1014;364.5;1;2662.5;0
2227;27740;1024;297;5;3037.5;1
2228;20236;1220;274.5;1;3421;1
2229;24525;1038;383;1;1550.5;1
2230;12209;1156;212.5;1;3400.5;0
2231;10256;1204;;3;3576.5;0
2232;24304;852;307.5;13;1888;1
2233;23280;1240;;1;1898;0
2234;14021;820;202.5;23;4071;1
2235;15401;1424;430.5;1;909.5;0
2236;4741;878;400;3;3260.5;0
2237;3151;938;371;5;2720.5;0
2238;24486;1268;413.5;11;1975;0
2239;11465;1102;;1;1250.5;0
2240;26448;1242;430.5;1;3288;0
2241;27074;1264;441.5;1;3427.5;0
2242;10873;994;401.5;3;2916.5;0
2243;28725;930;289.5;1;4255;0
2244;28972;1254;;1;480.5;0
2245;1923;1106;473;1;3015.5;0
2246;9873;1050;328;1;4980;0
2247;15970;958;226.5;7;2085;1
2248;2327;1330;304;1;1684;1
2249;1202;1206;424.5;1;301;0
2250;5529;1198;385.5;3;2343;0
2251;18224;968;385.5;1;1637;0
2252;20975;1106;442;1;111.5;1
2253;7633;1172;436;1;196;0
2254;29080;1106;;1;4695.5;0
2255;6453;978;;1;4772;1
2256;29953;1354;312.5;1;390;0
2257;24937;1090;336;3;584;1
2258;25786;1238;430.5;7;3648;1
2259;15954;1450;377.5;1;435.5;1
2260;26855;1044;430;3;3352.5;0
2261;15254;1060;400;1;2871;0
2262;3010;1136;385.5;3;1512.5;0
2263;13181;1106;;1;3023.5;0
2264;20448;1106;;3;3777;1
2265;24070;1202;447.5;1;2497;0
2266;18945;1120;410;1;3678.5;0
2267;5022;874;325;3;1579.5;0
2268;29876;1106;362.5;11;3018;1
2269;11951;1144;336;1;1237;0
2270;11427;1106;;1;3657;0
2271;26774;1114;325;1;332;0
2272;18838;1206;;1;4530;0
2273;7207;1106;297;3;2770;1
2274;2810;1040;422;1;1732.5;0
2275;5047;1106;;3;2281.5;1
